,line1,line2
81,"The President's personal counsel declined to provide us with his account of his conversations with Cohen, and there is no evidence available to us that indicates that the President was aware of the information Cohen provided to the President's personal counsel. The President's conversations with his personal counsel were presumptively protected by attorney-client privilege, and we did not seek to obtain the contents of any such communications. The absence of evidence about the President and his counsel's conversations about the drafting of Cohen's statement precludes us from assessing what, if any, role the President played. ii. Second, we considered whether the President took actions that would have the natural tendency to prevent Cohen from providing truthful information to criminal investigators or to Congress.","Before Cohen began to cooperate with the government, the President publicly and privately urged Cohen to stay on message and not ""flip."" Cohen recalled the President's personal counsel telling him that he would be protected so long as he did not go ""rogue."" In the days and weeks that followed the April 2018 searches of Cohen's [Harm to Ongoing Matter] e and office, the President told reporters that Cohen was a ""good man"" and said he was ""a fine person with a wonderful family... who I have always liked & respected."" Privately, the President told Cohen to ""hang in there"" and ""stay strong."" People who were close to both Cohen and the President passed messages to Cohen that ""the President loves you,"" ""the boss loves you,"" and ""everyone knows the boss has your back."""
82,"Aguilar, 515 U.S. at 601-602 (internal quotation marks omitted); see id. at 599 (""the endeavor must have the natural and probable effect of interfering with the due administration of justice"")(internal quotation marks omitted). The government must also show as a subjective matter that the actor ""contemplated a particular, foreseeable proceeding."" Petruk, 781 F.3d at 445. Those requirements alleviate fair-warning concerns by ensuring that obstructive conduct has a close enough connection to existing or future proceedings to implicate the dangers targeted by the obstruction laws and that the individual actually has the obstructive result in mind. b. Courts also seek to construe statutes to avoid due process vagueness concerns. See, e.g., McDonnell v. United States, 136 S. Ct. 2355, 2373 (2016); Skilling v. United States, 561 U.S. 358, 368, 402-404 (2010). Vagueness doctrine requires that a statute define a crime ""with sufficient definiteness that ordinary people can understand what conduct is prohibited"" and ""in a manner that does not encourage arbitrary and discriminatory enforcement."" Id. at 402-403 (internal quotation marks omitted). The obstruction statutes' requirement of acting ""corruptly"" satisfies that test.","Acting 'corruptly within the meaning of g 1512(c)(2) means acting with an improper purpose and to engage in conduct knowingly and dishonestly with the specific intent to subvert, impede or obstruct the relevant proceeding. United States v. Gordon, 710 F.3d 1124, 1151 (10th Cir. 2013)(some quotation marks omitted). The majority opinion in Aguilar did not address the defendant's vagueness challenge to the word ""corruptly,"" 515 U.S. at 600 n. 1, but Justice Scalia's separate opinion did reach that issue and would have rejected the challenge, id. at 616-617 (Scalia, J., joined by Kennedy and T [Harm to Ongoing Matter] as, JJ., concurring in part and dissenting in part). ""Statutory language need not be colloquial,"" Justice Scalia explained, and ""the term 'corruptly' in criminal laws has a longstanding and well-accepted meaning. It denotes an act done with an intent to give some advantage inconsistent with official duty and the rights of others."" Id. at 616 (internal quotation marks omitted; citing lower court authority and legal dictionaries). Justice Scalia added that ""in the context of obstructing jury proceedings, any claim of ignorance of wrongdoing is incredible."" Id. at 617. Lower courts have also rejected vagueness challenges to the word ""corruptly."" See, e.g., United States v. Edwards, 869 F.3d 490, 501-502 (7th Cir. 2017); United States v. Brenson, 104 F.3d 1267, 1280-1281 (11th Cir. 1997); United States v. Howard, 569 F.2d 1331, 1336 n.9 (5th Cir. 1978). This well-established intent standard precludes the need to limit the obstruction statutes to only certain kinds of inherently wrongful conduct.1083 1083 In United States v. Poindexter, 951 F.2d 369 (D.C. Cir. 1991), the court of appeals found the term ""corruptly"" in 18 U.S.C. 1505 vague as applied to a person who provided false information to Congress. After suggesting that the word ""corruptly"" was vague on its face, 951 F.2d at 378, the court 166"
83,"In sum, in light of the breadth of Section 1512(c)(2) and the other obstruction statutes, an argument that the conduct at issue in this investigation falls outside the scope of the obstruction laws lacks merit.","Constitutional Defenses to Applying Obstruction-Of-Justice Statutes to Presidential Conduct The President has broad discretion to direct criminal investigations. The Constitution vests the ""executive Power"" in the President and enjoins him to ""take Care that the Laws be faithfully executed."" U.S. CONST. ART II, $8 1, 3. Those powers and duties form the foundation of prosecutorial discretion. See United States v. Armstrong, 517 U.S. 456, 464 (1996)(Attorney General and United States Attorneys ""have this latitude because they are designated by statute as the President's delegates to help him discharge his constitutional responsibility to 'take Care that the Laws be faithfully executed.""). The President also has authority to appoint officers of the United States and to remove those w [Harm to Ongoing Matter] he has appointed. U.S. CONST. ART II, 2, cl. 2 (granting authority to the President to appoint all officers with the advice and consent of the Senate, but providing that Congress may vest the appointment of inferior officers in the President alone, the heads of departments, or the courts of law); see also Free Enterprise Fund v. Public Company Accounting Oversight Board, 561 U.S. 477, 492-493, 509 (2010)(describing removal authority as flowing from the President's ""responsibility to take care that the laws be faithfully executed"")."
84,"The removal of inferior officers, in contrast, need not necessarily be at will for the President to fulfill his constitutionally assigned role in managing the Executive Branch. ""[I] nferior officers are officers whose work is directed and supervised at some level by other officers appointed by the President with the Senate's consent."" Free Enterprise Fund, 561 U.S. at 510 (quoting Edmond v. United States, 520 U.S. 651, 663 (1997))(internal quotation marks omitted). The Supreme Court has long recognized Congress's authority to place for-cause limitations on the President's removal of ""inferior Officers"" whose appointment may be vested in the head of a department. U.S.","CONST. ART. II, 2, cl. 2. See United States v. Perkins, 116 U.S. 483, 485 (1886)(""The constitutional authority in Congress to thus vest the appointment [of inferior officers in the heads of departments] implies authority to limit, restrict, and regulate the removal by such laws as Congress may enact in relation to the officers so appointed"")(quoting lower court decision); Morrison, 487 U.S. at 689 n. 27 (citing Perkins); accord id. at 723-724 & n.4 (Scalia, J., dissenting)(recognizing that Perkins is ""established"" law); see also Free Enterprise Fund, 561 U.S. at 493- 495 (citing Perkins and Morrison). The category of inferior officers includes both the FBI Director and the Special Counsel, each of w [Harm to Ongoing Matter] reports to the Attorney General. See 28 U.S.C. §§ 509, 515(a), 531; 28 C.F.R. Part 600. Their work is thus ""directed and supervised"" by a presidentially-appointed, Senate-confirmed officer. See In re: Grand Jury Investigation,_F.3d_, 2019 WL 921692, at *3-*4 (D.C. Cir. Feb. 26, 2019)(holding that the Special Counsel is an ""inferior officer"" for constitutional purposes)."
85,"i. During that time period, what efforts did Mr. Stone tell you he was making to assist your campaign, and what requests, if any, did you make of Mr. Stone?","ii. Did Mr. Stone ever discuss WikiLeaks with you or, as far as you were aware, with anyone else associated with the campaign? If yes, describe what you were told, from w [Harm to Ongoing Matter] , and when."
86,"a. In October 2015, a ""Letter of Intent,"" a copy of which is attached as Exhibit B, was signed for a proposed Trump Organization project in Moscow (the ""Trump Moscow project"").",i. When were you first informed of discussions about the Trump Moscow project? By w [Harm to Ongoing Matter] ? What were you told about the project?
87,i. Did you direct or suggest that LTG Flynn have discussions with anyone from the Russian government about the Russia sanctions?,"ii. Were you told in advance of LTG Flynn's December 29, 2016 conversation that he was going to be speaking with Ambassador Kislyak? If yes, describe who told you this information, when, and what you were told. If no, when and from w [Harm to Ongoing Matter] did you learn of LTG Flynn's December 29, 2016 conversation with Ambassador Kislyak?"
88,"i. During that time period, what efforts did Mr. Stone tell you he was making to assist your campaign, and what requests, if any, did you make of Mr. Stone?","ii. Did Mr. Stone ever discuss WikiLeaks with you or, as far as you were aware, with anyone else associated with the campaign? If yes, describe what you were told, from w [Harm to Ongoing Matter] , and when"
89,"a. In October 2015, a ""Letter of Intent,"" a copy of which is attached as Exhibit B, was signed for a proposed Trump Organization project in Moscow (the ""Trump Moscow project"").",i. When were you first informed of discussions about the Trump Moscow project? By w [Harm to Ongoing Matter] ? What were you told about the project?
90,I understand those documents already have been provided to you.,"I vaguely remember press inquiries and media reporting during the campaign about whether the Trump Organization had business dealings in Russia. I may have spoken with campaign staff or Trump Organization employees regarding responses to requests for information, but I have no current recollection of any particular conversation, with w [Harm to Ongoing Matter] I may have spoken, when, or the substance of any conversation. As I recall, neither I nor the Trump Organization had any projects or proposed projects in Russia during the campaign other than the Letter of Intent."
91,"Footnote: 1. One defendant, Concord Management & Consulting LLC, appeared through counsel and is in pre-trial litigation.","later confirmed the Special Counsel's authority to investigate [Harm to Ongoing Matter] On October 27, 2017, Paul Manafort and Richard Gates were charged in the District of Columbia with various crimes (including FARA) in connection with work they performed for Russia-backed political entities in Ukraine. On February 22, 2018, Manafort and Gates were charged in the Eastern District of Virginia with various other crimes in connection with the payments they received for work performed for Russia-backed political entities in Ukraine."
